Graph Name	|V|   	|E|   	dmax   	davg   	r   	|T|   	Tavg   	Tmax   	κavg   	κ   	K   	ωheu   	Size	Download
16	58	10	7	0.05	204	12	22	0.54	0.53	6	5	1 KB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	961 MB	  Download
465K	835K	811	3	-0.87	135K	-	3K	0.02	0.00	31	6	2 MB	  Download
405K	713K	626	3	-0.88	89K	-	2K	0.01	0.00	29	6	3 MB	  Download
457K	15M	51K	65	-0.13	411M	899	893K	0.21	0.01	188	66	56 MB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	6 GB	  Download
2M	5M	100K	4	-0.29	54M	22	360K	0.07	0.00	185	25	16 MB	  Download
889	3K	102	6	-0.03	6K	7	251	0.15	0.13	10	6	8 KB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	19 MB	  Download
7K	107K	1K	30	-0.05	3M	354	56K	0.17	0.14	61	13	619 KB	  Download
1M	3M	29K	5	-0.04	9M	8	181K	0.08	0.01	52	16	10 MB	  Download
496K	2M	25K	7	-0.03	7M	14	151K	0.11	0.01	50	16	7 MB	  Download
