Graph Name,num_vertices,num_edges,degree_max,degree_avg,assortativity_coeff,num_triangles,avg_num_triangles,max_triangles_per_edge,clustering_local_avg,clustering_global,max_k_core,low_max_clique,size
soc-catster,150000.0,5000000.0,81000.0,72.0,5.47,556000000.0,4000.0,4000000.0,0.39,0.01,420.0,53.0,14000000.0
soc-delicious,536000.0,1000000.0,3000.0,5.0,-0.07,1000000.0,2.0,8000.0,0.03,0.01,34.0,21.0,4000000.0
soc-digg,771000.0,6000000.0,18000.0,15.0,-0.09,188000000.0,244.0,397000.0,0.09,0.05,237.0,45.0,19000000.0
soc-dogster,427000.0,9000000.0,47000.0,40.0,-0.13,250000000.0,586.0,2000000.0,0.17,0.01,249.0,37.0,24000000.0
soc-dolphins,62.0,159.0,12.0,5.0,-0.04,285.0,4.0,17.0,0.26,0.31,5.0,5.0,2000.0
soc-douban,155000.0,327000.0,287.0,4.0,-0.18,122000.0,,394.0,0.02,0.01,16.0,11.0,975000.0
soc-epinions,27000.0,100000.0,443.0,7.0,0.06,479000.0,18.0,5000.0,0.14,0.09,33.0,16.0,310000.0
soc-firm-hi-tech,33.0,1000.0,28.0,9.19,-0.12,5000.0,13.77,88.5,0.41,0.3,8.0,6.0,1000.0
soc-flickr-und,2000000.0,16000000.0,27000.0,18.0,-0.02,,959.0,2000000.0,0.18,0.11,569.0,66.0,47000000.0
soc-flickr,514000.0,3000000.0,4000.0,12.0,0.16,176000000.0,343.0,525000.0,0.17,0.15,310.0,53.0,10000000.0
soc-flixster,3000000.0,8000000.0,1000.0,6.0,-0.32,24000000.0,9.0,15000.0,0.08,0.01,69.0,31.0,26000000.0
soc-gemsec-HR,55000.0,498000.0,420.0,18.0,0.2,2000000.0,36.0,2000.0,0.14,0.11,22.0,9.0,2000000.0
soc-gemsec-HU,48000.0,223000.0,112.0,9.0,0.21,294000.0,6.0,327.0,0.12,0.09,12.0,12.0,1000000.0
soc-gemsec-RO,42000.0,126000.0,112.0,6.0,0.11,95000.0,2.0,186.0,0.09,0.08,8.0,7.0,865000.0
soc-google-plus,211000.0,2000000.0,2000.0,14.0,0.22,69000000.0,325.0,191000.0,0.15,0.27,163.0,59.0,6000000.0
soc-gowalla,197000.0,950000.0,15000.0,9.0,-0.03,7000000.0,34.0,94000.0,0.24,0.02,52.0,29.0,3000000.0
soc-gplus,24000.0,392000.0,3000.0,3.32,,64000.0,2.69,53000.0,0.22,0.0,13.0,11.0,95000.0
soc-hamsterster,2000.0,17000.0,273.0,13.0,0.05,160000.0,65.0,3000.0,0.54,0.23,25.0,25.0,41000.0
soc-highschool-moreno,,,,,,,,,,,,,2000.0
soc-karate,34.0,78.0,17.0,4.0,-0.48,135.0,3.0,18.0,0.57,0.26,5.0,5.0,2000.0
soc-lastfm,1000000.0,5000000.0,5000.0,7.0,-0.14,12000000.0,9.0,38000.0,0.07,0.01,71.0,14.0,15000000.0
soc-linkedin,,,,,,,,,,,,,185000000.0
soc-livejournal-user-groups,,,,,,,,,,,,,383000000.0
soc-livejournal,4000000.0,28000000.0,3000.0,13.0,0.27,251000000.0,62.0,80000.0,0.26,0.14,214.0,87.0,103000000.0
soc-livejourna107,,,,,,,,,,,,,174000000.0
soc-ljournal-2008,,,,,,,,,,,,,246000000.0
soc-loc-brightkite,58000.0,2000000.0,1000.0,7.35,,1000000.0,25.49,12000.0,0.17,0.11,52.0,47.0,653000.0
soc-myspace,,,,,,,,,,,,,34000000.0
soc-orkut-dir,3000000.0,117000000.0,33000.0,76.0,0.02,,612.0,2000000.0,0.17,0.04,254.0,47.0,422000000.0
soc-orkut,3000000.0,106000000.0,27000.0,70.0,0.02,,525.0,1000000.0,0.17,0.04,231.0,41.0,388000000.0
soc-physicians,,,,,,,,,,,,,3000.0
soc-pokec,2000000.0,22000000.0,15000.0,27.0,0.0,98000000.0,59.0,29000.0,0.11,0.05,48.0,29.0,88000000.0
soc-sign-Slashdot081106,77000.0,517000.0,3000.0,13.0,-0.06,3000000.0,39.0,33000.0,0.06,0.04,85.0,15.0,2000000.0
soc-sign-Slashdot090216,82000.0,546000.0,3000.0,13.0,-0.06,3000000.0,38.0,33000.0,0.07,0.04,86.0,14.0,2000000.0
soc-sign-Slashdot090221,82000.0,549000.0,3000.0,13.0,-0.06,3000000.0,38.0,34000.0,0.07,0.04,86.0,14.0,2000000.0
soc-sign-bitcoinalpha,,,,,,,,,,,,,145000.0
soc-sign-bitcoinotc,,,,,,,,,,,,,389000.0
soc-sign-epinions,132000.0,841000.0,4000.0,12.0,-0.04,28000000.0,211.0,108000.0,0.16,0.11,180.0,19.0,3000000.0
soc-sinaweibo,21000000.0,261000000.0,,,,,,,,,,,
soc-slashdot-trust-all,79000.0,516000.0,3000.0,13.0,-0.06,3000000.0,37.0,33000.0,0.07,0.04,85.0,26.0,2000000.0
soc-slashdot-zoo,,,,,,,,,,,,,2000000.0
soc-slashdot,70000.0,359000.0,3000.0,10.0,-0.07,1000000.0,17.0,13000.0,0.06,0.03,54.0,23.0,1000000.0
soc-student-coop,7000000.0,1.0,1.0,,,,,,,,2.0,2.0,2000.0
soc-themarker,69000.0,2000000.0,9000.0,47.0,-0.15,53000000.0,767.0,346000.0,0.19,0.05,165.0,21.0,6000000.0
soc-tribes,16.0,58.0,10.0,7.0,0.05,204.0,12.0,22.0,0.54,0.53,6.0,5.0,1000.0
soc-twitter-2010,,,,,,,,,,,,,961000000.0
soc-twitter-follows-mun,465000.0,835000.0,811.0,3.0,-0.87,135000.0,,3000.0,0.02,0.0,31.0,6.0,2000000.0
soc-twitter-follows,405000.0,713000.0,626.0,3.0,-0.88,89000.0,,2000.0,0.01,0.0,29.0,6.0,3000000.0
soc-twitter-higgs,457000.0,15000000.0,51000.0,65.0,-0.13,411000000.0,899.0,893000.0,0.21,0.01,188.0,66.0,56000000.0
soc-twitter-mpi-sws,,,,,,,,,,,,,
soc-wiki-Talk-dir,2000000.0,5000000.0,100000.0,4.0,-0.29,54000000.0,22.0,360000.0,0.07,0.0,185.0,25.0,16000000.0
soc-wiki-Vote,889.0,3000.0,102.0,6.0,-0.03,6000.0,7.0,251.0,0.15,0.13,10.0,6.0,8000.0
soc-wiki-conflict,,,,,,,,,,,,,19000000.0
soc-wiki-elec,7000.0,107000.0,1000.0,30.0,-0.05,3000000.0,354.0,56000.0,0.17,0.14,61.0,13.0,619000.0
soc-youtube-snap,1000000.0,3000000.0,29000.0,5.0,-0.04,9000000.0,8.0,181000.0,0.08,0.01,52.0,16.0,10000000.0
soc-youtube,496000.0,2000000.0,25000.0,7.0,-0.03,7000000.0,14.0,151000.0,0.11,0.01,50.0,16.0,7000000.0
