Graph Name,num_vertices,num_edges,degree_max,degree_avg,assortativity_coeff,num_triangles,avg_num_triangles,max_triangles_per_edge,clustering_local_avg,clustering_global,max_k_core,low_max_clique,size
f socfb-Lehigh96,5000.0,198000.0,973.0,78,0.04,5000000.0,958.0,27000.0,0.27,0.19,63,10,543000.0
f socfb-MlT,6000.0,251000.0,708.0,78,0.12,7000000.0,1000.0,28000.0,0.27,0.18,73,9,691000.0
f socfb-MlT8,6000.0,251000.0,708.0,78,0.12,7000000.0,1000.0,28000.0,0.27,0.18,73,9,692000.0
f socfb-MSU24,32000.0,1000000.0,5000.0,69,0.01,19000000.0,597.0,53000.0,0.2,0.12,83,11,4000000.0
f socfb.MU78,15000.0,649000.0,653.0,84,0.16,14000000.0,903.0,14000.0,0.21,0.15,71,11,2000000.0
f socfb-Maine59,9000.0,243000.0,1000.0,53,0.07,3000000.0,380.0,8000.0,0.24,0.15,45,11,718000.0
f socfb-MaryIand58,21000.0,745000.0,4000.0,71,0.0,14000000.0,669.0,49000.0,0.21,0.13,66,9,2000000.0
f socfb-Mich67,4000.0,82000.0,419.0,43,0.14,1000000.0,374.0,8000.0,0.28,0.19,46,14,231000.0
f socfb-Michigan23,30000.0,1000000.0,2000.0,78,0.12,25000000.0,821.0,44000.0,0.21,0.13,89,11,4000000.0
f socfb-Middlebury45,3000.0,125000.0,473.0,81,0.08,3000000.0,1000.0,13000.0,0.28,0.21,63,13,327000.0
f socfb-Mississippi66,11000.0,611000.0,2000.0,116,0.15,25000000.0,2000.0,60000.0,0.25,0.18,117,10,2000000.0
f socfb-NYU9,22000.0,716000.0,2000.0,66,0.01,11000000.0,500.0,39000.0,0.19,0.11,55,13,2000000.0
f socfb-Northeastern19,14000.0,382000.0,968.0,55,0.07,5000000.0,362.0,22000.0,0.2,0.13,44,11,1000000.0
f socfb-Northwestern25,11000.0,488000.0,2000.0,92,0.03,13000000.0,1000.0,47000.0,0.24,0.16,77,21,1000000.0
f socfb-NotreDame57,12000.0,541000.0,1000.0,89,0.05,11000000.0,870.0,22000.0,0.21,0.13,71,12,2000000.0
f socfb-OR,63000.0,817000.0,1000.0,25,0.18,11000000.0,165.0,19000.0,0.22,0.15,53,10,2000000.0
f socfb-OberIin44,3000.0,90000.0,478.0,61,0.05,2000000.0,570.0,11000.0,0.26,0.17,50,11,241000.0
f socfb-Oklahoma97,17000.0,893000.0,3000.0,102,0.07,31000000.0,2000.0,53000.0,0.23,0.16,108,15,3000000.0
f socfb-Penn94,42000.0,1000000.0,4000.0,65,0.0,22000000.0,520.0,68000.0,0.21,0.1,63,17,4000000.0
f socfb-Pepperdine86,3000.0,152000.0,674.0,88,0.06,5000000.0,1000.0,24000.0,0.28,0.21,72,10,398000.0
f socfb-Princeton12,7000.0,293000.0,628.0,88,0.09,8000000.0,1000.0,16000.0,0.24,0.16,77,10,805000.0
f socfb-Reed98,962.0,19000.0,313.0,39,0.02,291000.0,302.0,4000.0,0.32,0.22,35,10,52000.0
f socfb-Rice31,4000.0,185000.0,581.0,90,0.06,6000000.0,1000.0,18000.0,0.29,0.2,73,13,490000.0
f socfb-Rochester38,5000.0,161000.0,1000.0,70,0.02,4000000.0,850.0,24000.0,0.29,0.2,57,9,442000.0
f socfb-Rutgers89,25000.0,785000.0,2000.0,63,0.08,13000000.0,544.0,21000.0,0.22,0.14,57,9,2000000.0
f socfb-Santa74,4000.0,152000.0,1000.0,84,0.07,4000000.0,1000.0,32000.0,0.26,0.2,69,9,401000.0
f socfb-Simmons81,2000.0,33000.0,300.0,43,-0.06,506000.0,333.0,5000.0,0.31,0.21,35,10,91000.0
f socfb-Smith60,3000.0,97000.0,349.0,65,0.04,2000000.0,641.0,7000.0,0.28,0.19,49,9,261000.0
f socfb-Stanford3,12000.0,568000.0,1000.0,98,0.1,18000000.0,2000.0,33000.0,0.24,0.16,92,10,2000000.0
f socfb-Swarthmore42,2000.0,61000.0,577.0,73,0.06,2000000.0,999.0,20000.0,0.3,0.23,61,11,157000.0
f socfb-Syracuse56,14000.0,544000.0,1000.0,79,0.06,13000000.0,960.0,19000.0,0.24,0.17,76,13,2000000.0
f socfb-Temple83,14000.0,361000.0,1000.0,52,0.03,6000000.0,408.0,17000.0,0.21,0.13,62,10,1000000.0
f socfb-Tennessee95,17000.0,771000.0,5000.0,90,0.0,22000000.0,1000.0,156000.0,0.24,0.14,88,9,2000000.0
f socfb-Texas80,32000.0,1000000.0,2000.0,77,0.16,29000000.0,914.0,35000.0,0.22,0.15,79,12,4000000.0
f socfb-Texas84,36000.0,2000000.0,6000.0,87,0.0,34000000.0,922.0,141000.0,0.19,0.1,82,9,5000000.0
f socfb-Trinity100,3000.0,112000.0,404.0,85,0.07,3000000.0,1000.0,12000.0,0.29,0.23,68,11,290000.0
f socfb-Tufts18,7000.0,250000.0,827.0,74,0.12,5000000.0,813.0,19000.0,0.23,0.16,65,9,698000.0
f socfb-Tulane29,8000.0,284000.0,1000.0,73,0.1,7000000.0,941.0,18000.0,0.25,0.19,69,16,802000.0
f socfb-UC33,17000.0,522000.0,1000.0,62,0.09,10000000.0,575.0,23000.0,0.23,0.15,59,15,2000000.0
f socfb-UC61,14000.0,442000.0,687.0,64,0.2,11000000.0,766.0,23000.0,0.26,0.18,69,18,1000000.0
f socfb-UC64,7000.0,155000.0,660.0,45,0.13,3000000.0,411.0,8000.0,0.27,0.19,52,13,451000.0
f socfb-UCF52,15000.0,429000.0,5000.0,57,-0.01,10000000.0,672.0,93000.0,0.23,0.16,85,14,1000000.0
f socfb-UCLA,20000.0,748000.0,1000.0,73,0.14,15000000.0,749.0,18000.0,0.21,0.14,66,9,2000000.0
f socfb-UCLA26,20000.0,748000.0,1000.0,73,0.14,15000000.0,749.0,18000.0,0.21,0.14,66,9,2000000.0
f socfb-UCSB37,15000.0,482000.0,810.0,64,0.18,9000000.0,618.0,16000.0,0.22,0.16,66,12,1000000.0
f socfb-UCSC68,9000.0,225000.0,454.0,49,0.13,3000000.0,381.0,7000.0,0.24,0.17,44,12,666000.0
f socfb-UCSD34,15000.0,443000.0,2000.0,59,0.03,8000000.0,534.0,26000.0,0.23,0.15,57,12,1000000.0
f socfb-UChicag030,7000.0,208000.0,2000.0,63,0.02,4000000.0,619.0,34000.0,0.25,0.15,55,9,586000.0
f socfb-UConn,17000.0,605000.0,2000.0,70,0.09,10000000.0,595.0,22000.0,0.2,0.13,66,9,2000000.0
f socfb-UConn91,17000.0,605000.0,2000.0,70,0.09,10000000.0,595.0,22000.0,0.2,0.13,66,9,2000000.0
f socfb-UF,35000.0,1000000.0,8000.0,83,-0.01,36000000.0,1000.0,159000.0,0.22,0.12,84,13,5000000.0
f socfb-UF21,35000.0,1000000.0,8000.0,83,-0.01,36000000.0,1000.0,159000.0,0.22,0.12,84,13,5000000.0
f socfb-UGA50,24000.0,1000000.0,3000.0,96,0.09,30000000.0,1000.0,41000.0,0.21,0.14,87,12,4000000.0
f socfb-UllIinois,31000.0,1000000.0,5000.0,82,0.03,28000000.0,910.0,66000.0,0.21,0.14,86,9,4000000.0
f socfb-UllIinois20,31000.0,1000000.0,5000.0,82,0.03,28000000.0,910.0,66000.0,0.21,0.14,86,9,4000000.0
f socfb-UMass92,17000.0,519000.0,4000.0,62,0.0,8000000.0,481.0,63000.0,0.21,0.12,54,10,2000000.0
f socfb-UNC28,18000.0,767000.0,4000.0,84,0.0,16000000.0,896.0,94000.0,0.2,0.12,83,11,2000000.0
f socfb-UPenn7,15000.0,687000.0,2000.0,92,0.09,16000000.0,1000.0,29000.0,0.21,0.14,78,10,2000000.0
f socfb-USC35,17000.0,802000.0,4000.0,91,0.01,21000000.0,1000.0,106000.0,0.21,0.14,87,9,2000000.0
f socfb-USF51,13000.0,321000.0,897.0,48,0.15,5000000.0,410.0,16000.0,0.23,0.15,60,10,983000.0
f socfb-USFCA72,3000.0,65000.0,405.0,48,0.09,1000000.0,415.0,7000.0,0.27,0.19,44,10,179000.0
f socfb-UVA16,17000.0,789000.0,3000.0,91,0.03,19000000.0,1000.0,65000.0,0.21,0.13,82,9,2000000.0
f socfb-Vanderbilt48,8000.0,428000.0,2000.0,106,0.04,14000000.0,2000.0,61000.0,0.25,0.18,87,9,1000000.0
f socfb-Vassar85,3000.0,119000.0,482.0,77,0.1,3000000.0,830.0,12000.0,0.25,0.18,61,10,315000.0
f socfb-Vermont70,7000.0,191000.0,864.0,52,0.08,3000000.0,388.0,12000.0,0.23,0.15,47,14,556000.0
f socfb-VilIanova62,8000.0,315000.0,1000.0,81,0.06,7000000.0,945.0,27000.0,0.24,0.17,66,9,887000.0
f socfb-Virginia63,21000.0,698000.0,7000.0,65,-0.02,13000000.0,630.0,153000.0,0.22,0.11,71,9,2000000.0
f socfb-Wa ke73,5000.0,279000.0,1000.0,103,0.07,10000000.0,2000.0,49000.0,0.28,0.2,86,10,747000.0
f socfb-WashU32,8000.0,368000.0,2000.0,94,0.04,11000000.0,1000.0,46000.0,0.26,0.17,78,9,1021000.0
f socfb-WelIesley22,3000.0,95000.0,746.0,63,0.06,2000000.0,613.0,20000.0,0.26,0.17,52,10,254000.0
f socfb-WesIeyan43,4000.0,138000.0,549.0,76,0.1,3000000.0,913.0,10000.0,0.26,0.19,62,19,368000.0
f socfb-WiIliam77,6000.0,266000.0,1000.0,82,0.05,6000000.0,995.0,22000.0,0.25,0.17,65,10,739000.0
f socfb-WiIliams40,3000.0,113000.0,610.0,80,0.04,3000000.0,1000.0,19000.0,0.29,0.21,63,14,295000.0
f socfb-Wisconsin87,24000.0,836000.0,3000.0,70,0.0,15000000.0,612.0,47000.0,0.21,0.12,61,12,3000000.0
f socfb-Yale4,9000.0,405000.0,3000.0,94,0.02,11000000.0,1000.0,90000.0,0.23,0.15,84,10,1000000.0
f socfb-konect,59000000.0,93000000.0,5000.0,3,-0.29,19000000.0,,8000.0,0.04,0.0,17,6,286000000.0
f socfb-nips-ego,3000.0,3000.0,769.0,2,-0.67,273.0,,52.0,0.03,0.0,4,4,12000.0
f socfb-uci-uni,59000000.0,92000000.0,5000.0,3,-0.29,19000000.0,,8000.0,0.04,0.0,17,6,376000000.0
f socfb-wosn-friends,64000.0,1000000.0,2000.0,39,0.16,27000000.0,418.0,55000.0,0.21,0.15,85,10,7000000.0
